#,name,type1,type2,total,hp,attack,defence,sp atk,sp def,speed,generation,legendary,strong against,weak against,other,evol level,evol cond,shape,color,height,weight
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,#A8A878,3,65
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE,"Dragon, Flying, Grass, Ground, Fight, Poison","Fighting, Fire, Rock, Steel, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,quadruped,#6890F0,10,290
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,quadruped,#F8D030,8,245
126,Magmar,Fire,,495,65,95,57,100,85,93,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,quadruped,#F08030,9,250
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,#N/A,#N/A,legs,#A8A878,8,365
127,PinsirMega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,tentacles,#B8A038,4,75
128,Tauros,Normal,,490,75,100,95,40,70,110,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,tentacles,#B8A038,10,350
129,Magikarp,Water,,200,20,10,55,15,20,80,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,20,None,armor,#B8A038,5,115
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE,"Fire, Ground, Rock, Bug, Fighting, Grass","Electric, Grass, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,upright,#B8A038,13,405
130,GyaradosMega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,FALSE,"Fire, Ground, Rock, Ghost, Psychic","Electric, Grass, Bug, Fairy, Fight","nan, Immunce to Psychic",#N/A,#N/A,wings,#B8A038,18,590
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE,"Fire, Ground, Rock, Dragon, Flying, Grass, Ground","Electric, Grass, Fighting, Fire, Rock, Steel","nan, nan",#N/A,#N/A,humanoid,#A8A878,21,4600
132,Ditto,Normal,,288,48,48,48,48,48,48,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,wings,#98D8D8,17,554
133,Eevee,Normal,,325,55,55,50,45,65,55,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,wings,#F8D030,16,526
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,wings,#F08030,20,600
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,squiggle,#7038F8,18,33
136,Flareon,Fire,,525,65,130,60,95,110,65,1,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,squiggle,#7038F8,40,165
137,Porygon,Normal,,395,65,60,70,85,75,40,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,upright,#7038F8,22,2100
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",40,None,upright,#F85888,20,1220
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",#N/A,#N/A,upright,#F85888,4,40
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",40,None,quadruped,#78C850,9,64
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE,"Bug, Fire, Flying, Ice, Fire, Ground, Rock","Fight, Grass, Ground, Steel, Water, Electric, Grass","nan, nan",#N/A,#N/A,quadruped,#78C850,12,158
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE,"Bug, Fire, Flying, Ice, Bug, Fighting, Grass","Fight, Grass, Ground, Steel, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,#78C850,18,1005
142,AerodactylMega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,FALSE,"Bug, Fire, Flying, Ice, Bug, Fighting, Grass","Fight, Grass, Ground, Steel, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,humanoid,#F08030,5,79
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,quadruped,#F08030,9,190
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE,"Dragon, Flying, Grass, Ground, Bug, Fighting, Grass","Fighting, Fire, Rock, Steel, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,#F08030,17,795
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE,"Flying, Water, Bug, Fighting, Grass","Ground, Electric, Ice, Rock","Not Effective Against Ground, Immune to Ground",#N/A,#N/A,upright,#6890F0,6,95
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE,"Bug, Grass, Ice, Steel, Bug, Fighting, Grass","Ground, Rock, Water, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,upright,#6890F0,11,250
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE,Dragon,"Dragon, Fairy, Ice",Not Effective Against Fairy,30,None,upright,#6890F0,23,888
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,FALSE,Dragon,"Dragon, Fairy, Ice",Not Effective Against Fairy,55,None,quadruped,#A8A878,8,60
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE,"Dragon, Bug, Fighting, Grass","Dragon, Fairy, Ice, Electric, Ice, Rock","Not Effective Against Fairy, Immune to Ground",#N/A,#N/A,quadruped,#A8A878,18,325
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,wings,#A8A878,7,212
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE,"Fight, Poison, Dark, Ice, Normal, Rock, Steel","Bug, Dark, Ghost, Fairy, Flying, Psychic","Not Effective Against Dark, Not Effective Against Ghost",#N/A,#N/A,wings,#A8A878,16,408
150,MewtwoMega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,TRUE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,wings,#A8B820,10,108
151,Mew,Psychic,,600,100,100,100,100,100,100,1,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,wings,#A8B820,14,356
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,16,None,armor,#A8B820,5,85
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,32,None,armor,#A8B820,11,335
154,Meganium,Grass,,525,80,82,100,83,100,80,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,bug-wings,#A040A0,18,750
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,14,None,fish,#6890F0,5,120
156,Quilava,Fire,,405,58,64,58,80,65,80,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,36,None,fish,#6890F0,12,225
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,quadruped,#F8D030,3,20
158,Totodile,Water,,314,50,65,64,44,48,43,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,18,None,upright,#EE99AC,3,30
159,Croconaw,Water,,405,65,80,80,59,63,58,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,30,None,humanoid,#A8A878,3,10
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,humanoid,#EE99AC,3,15
161,Sentret,Normal,,215,35,46,34,35,45,20,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,15,None,humanoid,#EE99AC,6,32
162,Furret,Normal,,415,85,76,64,45,55,90,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,wings,#F85888,2,20
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",20,None,wings,#F85888,15,150
164,Noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE,"None, Bug, Fighting, Grass","Fighting, Electric, Ice, Rock","Immune to Ghost; Not Effective Against Ghost, Immune to Ground",#N/A,#N/A,quadruped,#F8D030,6,78
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",18,None,upright,#F8D030,8,133
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,upright,#F8D030,14,615
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",22,None,humanoid,#78C850,4,58
168,Ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE,"Dark, Grass, Psychic, Fairy, Grass","Fire, Flying, Rock, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,upright,#6890F0,4,85
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE,"Fairy, Grass, Bug, Fighting, Grass","Ground, Psychic, Electric, Ice, Rock","Not Effective Against Steel, Immune to Ground",#N/A,#N/A,upright,#6890F0,8,285
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE,"Fire, Ground, Rock, Flying, Water","Electric, Grass, Ground","nan, Not Effective Against Ground",27,None,humanoid,#B8A038,12,380
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE,"Fire, Ground, Rock, Flying, Water","Electric, Grass, Ground","nan, Not Effective Against Ground",#N/A,#N/A,humanoid,#6890F0,11,339
172,Pichu,Electric,,205,20,40,15,35,35,60,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,upright,#78C850,4,5
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A,upright,#78C850,6,10
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE,"None, Dark, Dragon, Fighting","Fighting, Poison, Steel","Immune to Ghost; Not Effective Against Ghost, Immune to Dragon",#N/A,#N/A,upright,#78C850,8,30
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A,upright,#A8A878,8,115
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE,"Dark, Dragon, Fighting, Bug, Fighting, Grass","Poison, Steel, Electric, Ice, Rock","Immune to Dragon, Immune to Ground",#N/A,#N/A,ball,#78C850,3,18
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE,"Fight, Poison, Bug, Fighting, Grass","Bug, Dark, Ghost, Electric, Ice, Rock","Not Effective Against Dark, Immune to Ground",25,None,humanoid,#78C850,8,85
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE,"Fight, Poison, Bug, Fighting, Grass","Bug, Dark, Ghost, Electric, Ice, Rock","Not Effective Against Dark, Immune to Ground",#N/A,#N/A,bug-wings,#A8B820,12,380
179,Mareep,Electric,,280,55,40,40,65,45,35,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,15,None,legs,#6890F0,4,85
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,30,None,upright,#6890F0,14,750
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,quadruped,#F85888,9,265
181,AmpharosMega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE,"Flying, Water, Dragon","Ground, Dragon, Fairy, Ice","Not Effective Against Ground, Not Effective Against Fairy",#N/A,#N/A,quadruped,#705848,10,270
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,wings,#705848,5,21
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE,"Fire, Ground, Rock, Dark, Dragon, Fighting","Electric, Grass, Poison, Steel","nan, Immune to Dragon",18,None,upright,#6890F0,20,795
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE,"Fire, Ground, Rock, Dark, Dragon, Fighting","Electric, Grass, Poison, Steel","nan, Immune to Dragon",#N/A,#N/A,ball,#705898,7,10
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,FALSE,"Bug, Fire, Flying, Ice","Fight, Grass, Ground, Steel, Water",nan,#N/A,#N/A,ball,#F85888,5,50
186,Politoed,Water,,500,90,75,75,90,100,70,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,blob,#F85888,13,285
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",18,None,quadruped,#A8A878,15,415
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",27,None,ball,#A8B820,6,72
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE,"Ground, Rock, Water, Bug, Fighting, Grass","Bug, Fire, Flying, Ice, Poison, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,ball,#A8B820,12,1258
190,Aipom,Normal,,360,55,70,55,40,55,85,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,squiggle,#A8A878,15,140
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,wings,#E0C068,11,648
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,FALSE,"Ground, Rock, Water","Bug, Fire, Flying, Ice, Poison",nan,#N/A,#N/A,squiggle,#B8B8D0,92,4000
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE,"Dark, Grass, Psychic, Bug, Fighting, Grass","Fire, Flying, Rock, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,humanoid,#EE99AC,6,78
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",20,None,upright,#EE99AC,14,487
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE,"Fire, Ground, Rock, Electric, Fire, Poison, Rock, Steel","Electric, Grass, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,fish,#6890F0,5,39
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,bug-wings,#A8B820,18,1180
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,FALSE,"Ghost, Psychic","Bug, Fairy, Fight",Immunce to Psychic,#N/A,#N/A,armor,#A8B820,6,205
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE,"Ghost, Psychic, Bug, Fighting, Grass","Bug, Fairy, Fight, Electric, Ice, Rock","Immunce to Psychic, Immune to Ground",#N/A,#N/A,humanoid,#A8B820,15,540
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE,"Fire, Ground, Rock, Fight, Poison","Electric, Grass, Bug, Dark, Ghost","nan, Not Effective Against Dark",#N/A,#N/A,upright,#705848,9,280
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,FALSE,"Ghost, Psychic","Dark, Ghost","Immune to fight, Normal; Not Effective Against Normal",#N/A,#N/A,upright,#A8A878,6,88
201,Unown,Psychic,,336,48,72,48,72,48,48,2,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,upright,#A8A878,18,1258
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,FALSE,"Fight, Poison","Bug, Dark, Ghost",Not Effective Against Dark,#N/A,#N/A,squiggle,#F08030,7,350
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE,"None, Fight, Poison","Fighting, Bug, Dark, Ghost","Immune to Ghost; Not Effective Against Ghost, Not Effective Against Dark",#N/A,#N/A,squiggle,#F08030,8,550
204,Pineco,Bug,,290,50,65,90,35,35,15,2,FALSE,"Dark, Grass, Psychic","Fire, Flying, Rock",nan,31,None,quadruped,#98D8D8,4,65
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A,quadruped,#98D8D8,11,558
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,armor,#6890F0,6,50
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE,"Electric, Fire, Poison, Rock, Steel, Bug, Fighting, Grass","Grass, Ice, Water, Electric, Ice, Rock","Immune to Electric; Not Effective Against Flying, Immune to Ground",#N/A,#N/A,fish,#6890F0,6,120
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE,"Fairy, Ice, Rock, Electric, Fire, Poison, Rock, Steel","Fight, Fire, Ground, Grass, Ice, Water","Immune to Poison, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,tentacles,#6890F0,9,285
208,SteelixMega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,FALSE,"Fairy, Ice, Rock, Electric, Fire, Poison, Rock, Steel","Fight, Fire, Ground, Grass, Ice, Water","Immune to Poison, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,wings,#98D8D8,9,160
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,23,None,wings,#6890F0,21,2200
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,FALSE,"Dark, Dragon, Fighting","Poison, Steel",Immune to Dragon,#N/A,#N/A,wings,#B8B8D0,17,505
211,Qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE,"Fire, Ground, Rock, Fairy, Grass","Electric, Grass, Ground, Psychic","nan, Not Effective Against Steel",#N/A,#N/A,quadruped,#705848,6,108
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A,quadruped,#705848,14,350
212,ScizorMega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,FALSE,"Dark, Grass, Psychic, Fairy, Ice, Rock","Fire, Flying, Rock, Fight, Fire, Ground","nan, Immune to Poison",#N/A,#N/A,blob,#6890F0,18,1520
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE,"Dark, Grass, Psychic, Bug, Fire, Flying, Ice","Fire, Flying, Rock, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A,quadruped,#E0C068,5,335
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE,"Dark, Grass, Psychic, Dark, Ice, Normal, Rock, Steel","Fire, Flying, Rock, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A,quadruped,#E0C068,11,1200
214,HeracrossMega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,FALSE,"Dark, Grass, Psychic, Dark, Ice, Normal, Rock, Steel","Fire, Flying, Rock, Fairy, Flying, Psychic","nan, Not Effective Against Ghost",#N/A,#N/A,legs,#A8A878,6,325
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE,"Ghost, Psychic, Dragon, Flying, Grass, Ground","Bug, Fairy, Fight, Fighting, Fire, Rock, Steel","Immunce to Psychic, nan",#N/A,#N/A,quadruped,#A8A878,14,712
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,30,None,upright,#A8A878,12,580
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,humanoid,#C03028,7,210
218,Slugma,Fire,,250,40,40,40,70,40,20,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,38,None,upright,#C03028,14,480
219,Magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE,"Bug, Grass, Ice, Steel, Bug, Fire, Flying, Ice","Ground, Rock, Water, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A,humanoid,#98D8D8,4,60
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE,"Dragon, Flying, Grass, Ground, Electric, Fire, Poison, Rock, Steel","Fighting, Fire, Rock, Steel, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",33,None,humanoid,#F8D030,6,235
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE,"Dragon, Flying, Grass, Ground, Electric, Fire, Poison, Rock, Steel","Fighting, Fire, Rock, Steel, Grass, Ice, Water","nan, Immune to Electric; Not Effective Against Flying",#N/A,#N/A,upright,#F08030,7,214
222,Corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE,"Fire, Ground, Rock, Bug, Fire, Flying, Ice","Electric, Grass, Fight, Grass, Ground, Steel, Water","nan, nan",#N/A,#N/A,upright,#A8A878,12,755
223,Remoraid,Water,,300,35,65,35,65,35,65,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,25,None,humanoid,#A8A878,15,468
224,Octillery,Water,,480,75,105,75,105,75,45,2,FALSE,"Fire, Ground, Rock","Electric, Grass",nan,#N/A,#N/A,quadruped,#F8D030,19,1780
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE,"Dragon, Flying, Grass, Ground, Bug, Fighting, Grass","Fighting, Fire, Rock, Steel, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,#F08030,21,1980
226,Mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE,"Fire, Ground, Rock, Bug, Fighting, Grass","Electric, Grass, Electric, Ice, Rock","nan, Immune to Ground",#N/A,#N/A,quadruped,#6890F0,20,1870
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE,"Fairy, Ice, Rock, Bug, Fighting, Grass","Fight, Fire, Ground, Electric, Ice, Rock","Immune to Poison, Immune to Ground",#N/A,#N/A,upright,#B8A038,6,720
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,FALSE,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",24,None,squiggle,#B8A038,12,1520
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,FALSE,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",#N/A,#N/A,upright,#B8A038,20,2020
229,HoundoomMega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,FALSE,"Ghost, Psychic, Bug, Grass, Ice, Steel","Bug, Fairy, Fight, Ground, Rock, Water","Immunce to Psychic, nan",#N/A,#N/A,wings,#F85888,52,2160
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE,"Fire, Ground, Rock, Dragon","Electric, Grass, Dragon, Fairy, Ice","nan, Not Effective Against Fairy",#N/A,#N/A,wings,#F08030,38,1990
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,25,None,humanoid,#F85888,6,50
232,Donphan,Ground,,500,90,120,120,60,60,50,2,FALSE,"Electric, Fire, Poison, Rock, Steel","Grass, Ice, Water",Immune to Electric; Not Effective Against Flying,#N/A,#N/A,upright,#78C850,5,50
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,upright,#78C850,9,216
234,Stantler,Normal,,465,73,95,62,85,65,85,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,upright,#78C850,17,522
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,legs,#F08030,4,25
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,20,Attack > Defense,upright,#F08030,9,195
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,FALSE,"Dark, Ice, Normal, Rock, Steel","Fairy, Flying, Psychic",Not Effective Against Ghost,#N/A,#N/A,upright,#F08030,19,520
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE,"Dragon, Flying, Grass, Ground, Fight, Poison","Fighting, Fire, Rock, Steel, Bug, Dark, Ghost","nan, Not Effective Against Dark",30,None,quadruped,#6890F0,4,76
239,Elekid,Electric,,360,45,63,37,65,55,95,2,FALSE,"Flying, Water",Ground,Not Effective Against Ground,30,None,upright,#6890F0,7,280
240,Magby,Fire,,365,45,75,37,70,55,83,2,FALSE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,30,None,upright,#6890F0,15,819
241,Miltank,Normal,,490,95,80,105,40,70,100,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,quadruped,#705848,5,136
242,Blissey,Normal,,540,255,10,10,75,135,55,2,FALSE,None,Fighting,Immune to Ghost; Not Effective Against Ghost,#N/A,#N/A,quadruped,#705848,10,370
243,Raikou,Electric,,580,90,85,75,115,100,115,2,TRUE,"Flying, Water",Ground,Not Effective Against Ground,#N/A,#N/A,quadruped,#A8A878,4,175
244,Entei,Fire,,580,115,115,85,90,75,100,2,TRUE,"Bug, Grass, Ice, Steel","Ground, Rock, Water",nan,#N/A,#N/A,quadruped,#A8A878,5,325
